,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Sprachebene
10,,die ewigkeit,,,,LSch,positiv,12079,CATMA_16240605-CD33-4EEB-A921-1507C5872E47_2,13,Emotionen der Freude,positiv,12008,Freude,Schaut das Erbschloß höchster Lust; hir ist nichts denn Freud vnd Sonne,"['Schaut', 'das', 'Erbschloß', 'höchster', 'Lust', ';', 'hir', 'ist', 'nichts', 'denn', 'Freud', 'vnd', 'Sonne']",
11,,die ewigkeit,,,,LSch,positiv,12224,CATMA_16240605-CD33-4EEB-A921-1507C5872E47_3,10,Emotionen der Freude,positiv,12175,Freude,Diß ist was Ewig euch ergetzen vnd verletzen kan.,"['Diß', 'ist', 'was', 'Ewig', 'euch', 'ergetzen', 'vnd', 'verletzen', 'kan', '.']",
12,,,,,,LSch,negativ,12468,CATMA_B0ABA97F-D536-4656-A0E3-CB1B7D090D5B_0,35,Emotionen des Leids,negativ,12297,Leid,"Die werthe Fürstin folget mir die schon ein höher Reich erblicket /
Die in den Banden frey / nicht jrrdisch auff der Erd /
Die stritt vnd lid für Kirch vnd Thron vnd Herd.","['Die', 'werthe', 'Fürstin', 'folget', 'mir', 'die', 'schon', 'ein', 'höher', 'Reich', 'erblicket', '/', 'Die', 'in', 'den', 'Banden', 'frey', '/', 'nicht', 'jrrdisch', 'auff', 'der', 'Erd', '/', 'Die', 'stritt', 'vnd', 'lid', 'für', 'Kirch', 'vnd', 'Thron', 'vnd', 'Herd', '.']",
13,,,,,,LSch,negativ,12601,CATMA_B0ABA97F-D536-4656-A0E3-CB1B7D090D5B_1,10,Emotionen des Leids,negativ,12559,Leid,"Last so wie Sie das werthe Blut zu Pfand:
","['Last', 'so', 'wie', 'Sie', 'das', 'werthe', 'Blut', 'zu', 'Pfand', ':']",
14,,demetrius,,,,LSch,positiv,12848,CATMA_9676CBE6-15C9-45E0-8F5D-5E9C2EF1CE66,21,Emotionen der Freude,positiv,12741,Freude,"Diß ist die feste Burg die vnsern Schatz beschlossen
Das Kleinod dessen wir so kurtz / doch wol / genossen.","['Diß', 'ist', 'die', 'feste', 'Burg', 'die', 'vnsern', 'Schatz', 'beschlossen', 'Das', 'Kleinod', 'dessen', 'wir', 'so', 'kurtz', '/', 'doch', 'wol', '/', 'genossen', '.']",
15,,demetrius,,,,LSch,negativ,13431,CATMA_CB7154FE-DCBB-492F-BD1C-965AFB9B13CF_0,106,Emotionen des Leids,negativ,12849,Leid,"Die Sonn' Iberiens die als jhr Glantz anfing
Zu strahlen durch die Lufft so bluttig unterging
Verfinstert dieser Stein. Die vber vns regiret
Ward für vns in die Band' als eine Magd geführet?
Mit Ihr zog vnser Ruhm vnd Freyheit vnd Gewin
Vnd vngepochte Macht in frembdes Elend hin.
Wer hat euch nicht bißher mit vnerschöpfften Sehnen
Mit Seufftzenreichem Ach vnd vnverfälschten Thränen
Bejammert vnd betraur't. Wer wolte nicht dem Tod
Getrost entgegen ziehn / dafern die ehrne Noth
Vor euch solch Opffer wolt' O Königin der Frauen
Die je der Tag bekrönt kont auff der Erden schauen!
","['Die', 'Sonn', ""'"", 'Iberiens', 'die', 'als', 'jhr', 'Glantz', 'anfing', 'Zu', 'strahlen', 'durch', 'die', 'Lufft', 'so', 'bluttig', 'unterging', 'Verfinstert', 'dieser', 'Stein', '.', 'Die', 'vber', 'vns', 'regiret', 'Ward', 'für', 'vns', 'in', 'die', 'Band', ""'"", 'als', 'eine', 'Magd', 'geführet', '?', 'Mit', 'Ihr', 'zog', 'vnser', 'Ruhm', 'vnd', 'Freyheit', 'vnd', 'Gewin', 'Vnd', 'vngepochte', 'Macht', 'in', 'frembdes', 'Elend', 'hin', '.', 'Wer', 'hat', 'euch', 'nicht', 'bißher', 'mit', 'vnerschöpfften', 'Sehnen', 'Mit', 'Seufftzenreichem', 'Ach', 'vnd', 'vnverfälschten', 'Thränen', 'Bejammert', 'vnd', ""betraur't"", '.', 'Wer', 'wolte', 'nicht', 'dem', 'Tod', 'Getrost', 'entgegen', 'ziehn', '/', 'dafern', 'die', 'ehrne', 'Noth', 'Vor', 'euch', 'solch', 'Opffer', 'wolt', ""'"", 'O', 'Königin', 'der', 'Frauen', 'Die', 'je', 'der', 'Tag', 'bekrönt', 'kont', 'auff', 'der', 'Erden', 'schauen', '!']",
16,,demetrius,,,,LSch,negativ,14259,CATMA_CB7154FE-DCBB-492F-BD1C-965AFB9B13CF_1,77,Emotionen des Leids,negativ,13850,Leid,"Als sich die grimme Macht der grausen Schar verband
Zu dempffen vnser Volck mit Sebel / Pfeil vnd Brand
Die / als nichts übrig mehr für aller Heil zu wagen
Sich selber unverzagt wolt in die Schantze schlagen!
Ist werthe Königin / ist Hoffnung daß man noch
Euch auß der strengen Last / dem Demandfesten Joch
Erretet grüssen soll! wird vns der Himmel gönnen
Daß wir nach so viel Angst euch werden ehren können?
","['Als', 'sich', 'die', 'grimme', 'Macht', 'der', 'grausen', 'Schar', 'verband', 'Zu', 'dempffen', 'vnser', 'Volck', 'mit', 'Sebel', '/', 'Pfeil', 'vnd', 'Brand', 'Die', '/', 'als', 'nichts', 'übrig', 'mehr', 'für', 'aller', 'Heil', 'zu', 'wagen', 'Sich', 'selber', 'unverzagt', 'wolt', 'in', 'die', 'Schantze', 'schlagen', '!', 'Ist', 'werthe', 'Königin', '/', 'ist', 'Hoffnung', 'daß', 'man', 'noch', 'Euch', 'auß', 'der', 'strengen', 'Last', '/', 'dem', 'Demandfesten', 'Joch', 'Erretet', 'grüssen', 'soll', '!', 'wird', 'vns', 'der', 'Himmel', 'gönnen', 'Daß', 'wir', 'nach', 'so', 'viel', 'Angst', 'euch', 'werden', 'ehren', 'können', '?']",
17,,demetrius,,,,LSch,negativ,14461,CATMA_CB7154FE-DCBB-492F-BD1C-965AFB9B13CF_2,10,Emotionen des Leids,negativ,14409,Leid,Der vnser langes Leid sol durch die Freud auffheben?,"['Der', 'vnser', 'langes', 'Leid', 'sol', 'durch', 'die', 'Freud', 'auffheben', '?']",
18,,demetrius,,,,LSch,positiv,14357,CATMA_A514269A-7EBB-4F13-B450-2793927874E2,222,Emotionen der Zuneigung,positiv,13130,Verehrung,"Wer hat euch nicht bißher mit vnerschöpfften Sehnen
Mit Seufftzenreichem Ach vnd vnverfälschten Thränen
Bejammert vnd betraur't. Wer wolte nicht dem Tod
Getrost entgegen ziehn / dafern die ehrne Noth
Vor euch solch Opffer wolt' O Königin der Frauen
Die je der Tag bekrönt kont auff der Erden schauen!
Die Vaterland vnd Reich durch Faust vnd Recht geschützt /
Den Strom der Tyranney mit Stahl vnd Mutt gestützt
Die jhres Fürsten Mord durch dessen Tod gerochen
Der Gott den Eyd / vns Trew / vnd alles Recht gebrochen

Das Völcker je bepfählt der durch deß Vatern Brust5


Ins Brudern Hertze stiß: Fraw! eurer Zeiten Lust
Die Tefflis hat erquickt / Georgien ergetzet /
Der Persen Reich erschreckt vnd Gurgistan entsetzet /
Als sich die grimme Macht der grausen Schar verband
Zu dempffen vnser Volck mit Sebel / Pfeil vnd Brand
Die / als nichts übrig mehr für aller Heil zu wagen
Sich selber unverzagt wolt in die Schantze schlagen!
Ist werthe Königin / ist Hoffnung daß man noch
Euch auß der strengen Last / dem Demandfesten Joch
Erretet grüssen soll! wird vns der Himmel gönnen
Daß wir nach so viel Angst euch werden ehren können?
Geschickt auff eure Burg / gesetzt in euren Thron
Gelobt von eurem Volck / geküst von eurem Sohn.
","['Wer', 'hat', 'euch', 'nicht', 'bißher', 'mit', 'vnerschöpfften', 'Sehnen', 'Mit', 'Seufftzenreichem', 'Ach', 'vnd', 'vnverfälschten', 'Thränen', 'Bejammert', 'vnd', ""betraur't"", '.', 'Wer', 'wolte', 'nicht', 'dem', 'Tod', 'Getrost', 'entgegen', 'ziehn', '/', 'dafern', 'die', 'ehrne', 'Noth', 'Vor', 'euch', 'solch', 'Opffer', 'wolt', ""'"", 'O', 'Königin', 'der', 'Frauen', 'Die', 'je', 'der', 'Tag', 'bekrönt', 'kont', 'auff', 'der', 'Erden', 'schauen', '!', 'Die', 'Vaterland', 'vnd', 'Reich', 'durch', 'Faust', 'vnd', 'Recht', 'geschützt', '/', 'Den', 'Strom', 'der', 'Tyranney', 'mit', 'Stahl', 'vnd', 'Mutt', 'gestützt', 'Die', 'jhres', 'Fürsten', 'Mord', 'durch', 'dessen', 'Tod', 'gerochen', 'Der', 'Gott', 'den', 'Eyd', '/', 'vns', 'Trew', '/', 'vnd', 'alles', 'Recht', 'gebrochen', 'Das', 'Völcker', 'je', 'bepfählt', 'der', 'durch', 'deß', 'Vatern', 'Brust5', 'Ins', 'Brudern', 'Hertze', 'stiß', ':', 'Fraw', '!', 'eurer', 'Zeiten', 'Lust', 'Die', 'Tefflis', 'hat', 'erquickt', '/', 'Georgien', 'ergetzet', '/', 'Der', 'Persen', 'Reich', 'erschreckt', 'vnd', 'Gurgistan', 'entsetzet', '/', 'Als', 'sich', 'die', 'grimme', 'Macht', 'der', 'grausen', 'Schar', 'verband', 'Zu', 'dempffen', 'vnser', 'Volck', 'mit', 'Sebel', '/', 'Pfeil', 'vnd', 'Brand', 'Die', '/', 'als', 'nichts', 'übrig', 'mehr', 'für', 'aller', 'Heil', 'zu', 'wagen', 'Sich', 'selber', 'unverzagt', 'wolt', 'in', 'die', 'Schantze', 'schlagen', '!', 'Ist', 'werthe', 'Königin', '/', 'ist', 'Hoffnung', 'daß', 'man', 'noch', 'Euch', 'auß', 'der', 'strengen', 'Last', '/', 'dem', 'Demandfesten', 'Joch', 'Erretet', 'grüssen', 'soll', '!', 'wird', 'vns', 'der', 'Himmel', 'gönnen', 'Daß', 'wir', 'nach', 'so', 'viel', 'Angst', 'euch', 'werden', 'ehren', 'können', '?', 'Geschickt', 'auff', 'eure', 'Burg', '/', 'gesetzt', 'in', 'euren', 'Thron', 'Gelobt', 'von', 'eurem', 'Volck', '/', 'geküst', 'von', 'eurem', 'Sohn', '.']",
19,,,,,,LSch,positiv,14462,CATMA_7BA0C1F3-A9D2-47E0-8AF6-51046F59AAE3,76,Emotionen der Freude,positiv,14059,Freude,"Ist werthe Königin / ist Hoffnung daß man noch
Euch auß der strengen Last / dem Demandfesten Joch
Erretet grüssen soll! wird vns der Himmel gönnen
Daß wir nach so viel Angst euch werden ehren können?
Geschickt auff eure Burg / gesetzt in euren Thron
Gelobt von eurem Volck / geküst von eurem Sohn.
Wird der mein greiser Kopff den schönen Tag erleben
Der vnser langes Leid sol durch die Freud auffheben?
","['Ist', 'werthe', 'Königin', '/', 'ist', 'Hoffnung', 'daß', 'man', 'noch', 'Euch', 'auß', 'der', 'strengen', 'Last', '/', 'dem', 'Demandfesten', 'Joch', 'Erretet', 'grüssen', 'soll', '!', 'wird', 'vns', 'der', 'Himmel', 'gönnen', 'Daß', 'wir', 'nach', 'so', 'viel', 'Angst', 'euch', 'werden', 'ehren', 'können', '?', 'Geschickt', 'auff', 'eure', 'Burg', '/', 'gesetzt', 'in', 'euren', 'Thron', 'Gelobt', 'von', 'eurem', 'Volck', '/', 'geküst', 'von', 'eurem', 'Sohn', '.', 'Wird', 'der', 'mein', 'greiser', 'Kopff', 'den', 'schönen', 'Tag', 'erleben', 'Der', 'vnser', 'langes', 'Leid', 'sol', 'durch', 'die', 'Freud', 'auffheben', '?']",
20,,procopius,,,,LSch,positiv,14994,CATMA_93AEC346-ED1D-4C1B-B5F3-33BDFD159C31,20,Emotionen der Zuneigung,positiv,14892,Verehrung,"Ihr schaut wie trefflich Ihn der grosse Hoff geehrt /
Mit was vor Anmuth Ihn der Persen Haubt gehört!
","['Ihr', 'schaut', 'wie', 'trefflich', 'Ihn', 'der', 'grosse', 'Hoff', 'geehrt', '/', 'Mit', 'was', 'vor', 'Anmuth', 'Ihn', 'der', 'Persen', 'Haubt', 'gehört', '!']",
21,,procopius,,,,LSch,positiv,15099,CATMA_FC8A8BFF-97FA-46B0-B406-8D91960935FE,17,Emotionen der Freude,positiv,14994,Freude,"Wie glücklich Er verricht warumb Er außgesendet
Wie Er nach höchstem Wundtsch das gantze Werck vollendet.","['Wie', 'glücklich', 'Er', 'verricht', 'warumb', 'Er', 'außgesendet', 'Wie', 'Er', 'nach', 'höchstem', 'Wundtsch', 'das', 'gantze', 'Werck', 'vollendet', '.']",
22,,procopius,,,,LSch,negativ,15437,CATMA_CF25D154-18DB-4586-8BC4-C43E9B3CFB85,10,Emotionen der Ablehnung,negativ,15389,Abscheu,Der Er in heissem Zorn das Leben hat geschenckt.,"['Der', 'Er', 'in', 'heissem', 'Zorn', 'das', 'Leben', 'hat', 'geschenckt', '.']",
23,,demetrius,,,,LSch,negativ,15504,CATMA_4E558FC1-9150-485F-8732-8D9F93111C7E,9,Emotionen des Leids,negativ,15450,Leid,Daß Sie durch lange Pein in höchster Angst verschwinde,"['Daß', 'Sie', 'durch', 'lange', 'Pein', 'in', 'höchster', 'Angst', 'verschwinde']",
