,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
25,,,,,,LS,negativ,21207,CATMA_9E73D7FB-72B7-47DA-92DA-EC6248470D7F,13,Emotionen des Leids,negativ,21140,Leid,"Ich bin Ihnen nichts schuldig, und doch wollen Sie mich verstoßen?
","['Ich', 'bin', 'Ihnen', 'nichts', 'schuldig', ',', 'und', 'doch', 'wollen', 'Sie', 'mich', 'verstoßen', '?']"
26,,,,,,LS,positiv,21538,CATMA_FC24B7AE-D4B0-4ECD-AED0-E2EF54FFE385,53,Emotionen der Zuneigung,positiv,21271,Freundschaft,"Darum? nur darum? – So gewiß ich Ihnen schuldig bin, so gewiß Sie mir nichts schuldig
              werden können, so gewiß  sollen Sie mich nun nicht verstoßen. – Machen
              Sie, was Sie wollen, Herr Major; ich bleibe bei Ihnen; ich muß bei Ihnen bleiben.
","['Darum', '?', 'nur', 'darum', '?', '–', 'So', 'gewiß', 'ich', 'Ihnen', 'schuldig', 'bin', ',', 'so', 'gewiß', 'Sie', 'mir', 'nichts', 'schuldig', 'werden', 'können', ',', 'so', 'gewiß', 'sollen', 'Sie', 'mich', 'nun', 'nicht', 'verstoßen', '.', '–', 'Machen', 'Sie', ',', 'was', 'Sie', 'wollen', ',', 'Herr', 'Major', ';', 'ich', 'bleibe', 'bei', 'Ihnen', ';', 'ich', 'muß', 'bei', 'Ihnen', 'bleiben', '.']"
27,,von_tellheim (Major von Tellheim),,,,LS,positiv,21748,CATMA_EC6E7566-D755-4328-9220-C20C21FEA9DB,3,Emotionen der Freude,positiv,21719,Schadenfreude,deine tückische Schadenfreude,"['deine', 'tückische', 'Schadenfreude']"
28,,,,,positiv,LS,negativ,22925,CATMA_F657CB7E-B656-4E9C-B5BA-762F02437C83,31,Emotionen der Ablehnung,positiv,22779,Ärger,"Es ist ein häßlicher Budel, aber ein gar zu guter Hund. Wenn er es
              länger treibt, so höre ich endlich auf, den Budeln gram zu sein.
","['Es', 'ist', 'ein', 'häßlicher', 'Budel', ',', 'aber', 'ein', 'gar', 'zu', 'guter', 'Hund', '.', 'Wenn', 'er', 'es', 'länger', 'treibt', ',', 'so', 'höre', 'ich', 'endlich', 'auf', ',', 'den', 'Budeln', 'gram', 'zu', 'sein', '.']"
29,,,,,,LS,negativ,23006,CATMA_A638C133-716B-4493-876F-A09BE4A6C3FF,13,Emotionen des Leids,negativ,22950,Mitleid,"So wie ich ihm! Nein, es gibt keine völlige Unmenschen! ","['So', 'wie', 'ich', 'ihm', '!', 'Nein', ',', 'es', 'gibt', 'keine', 'völlige', 'Unmenschen', '!']"
30,,just (Just),,,,LS,negativ,23259,CATMA_34CE95C9-6DAC-44B0-AB07-18389EFBF232,22,Emotionen des Leids,negativ,23116,Leid,"Sie vergessen Ihrer
              Blessuren, und daß Sie nur eines Armes mächtig sind. Sie können sich ja nicht allein
              ankleiden.","['Sie', 'vergessen', 'Ihrer', 'Blessuren', ',', 'und', 'daß', 'Sie', 'nur', 'eines', 'Armes', 'mächtig', 'sind', '.', 'Sie', 'können', 'sich', 'ja', 'nicht', 'allein', 'ankleiden', '.']"
31,der_bediente (Der Bediente),,,,,LS,negativ,24848,CATMA_BFCF2140-8E9B-480D-9E5C-BABD8171BEC4,8,Emotionen der Ablehnung,negativ,24810,Abscheu,"Der Henker behalte alle ihre Namen! –
","['Der', 'Henker', 'behalte', 'alle', 'ihre', 'Namen', '!', '–']"
32,just (Just),,,,,LS,positiv,24871,CATMA_1D44A1EA-AFE1-4488-BD31-430A42A8C768,4,Emotionen der Freude,positiv,24855,Freude,"Bravo, Kamerad!
","['Bravo', ',', 'Kamerad', '!']"
33,,,,,,LS,negativ,25143,CATMA_DA4CFCF8-AA13-4F71-98B5-8039D42201ED,21,Emotionen der Ablehnung,negativ,25024,Ärger,"Genug, mein Freund. Den Namen Eurer Herrschaft wollte ich wissen; aber nicht ihre
              Geheimnisse. Geht nur!
","['Genug', ',', 'mein', 'Freund', '.', 'Den', 'Namen', 'Eurer', 'Herrschaft', 'wollte', 'ich', 'wissen', ';', 'aber', 'nicht', 'ihre', 'Geheimnisse', '.', 'Geht', 'nur', '!']"
34,,just (Just),,,,LS,negativ,25952,CATMA_A559CA3A-D27C-4ABA-8039-CCA2E45E29E3,8,Emotionen des Leids,negativ,25920,Leid,"Sorgen Sie nicht, Herr Major! –
","['Sorgen', 'Sie', 'nicht', ',', 'Herr', 'Major', '!', '–']"
35,,,,,,LS,negativ,26879,CATMA_CB75206D-895A-4B4E-A9D5-BAD996C81248,11,Emotionen der Ablehnung,negativ,26815,Ärger,Das verwünschte Dorf! Ich kanns unmöglich wieder gewohnt werden.,"['Das', 'verwünschte', 'Dorf', '!', 'Ich', 'kanns', 'unmöglich', 'wieder', 'gewohnt', 'werden', '.']"
36,,,,,,LS,Emotionale Bewegtheit,27991,CATMA_A2D18FEA-3592-43FD-9675-D9606EDDC1AB,94,Emotionale Bewegtheit,Emotionale Bewegtheit,27474,Emotionale Bewegtheit,"Mensch, ich glaube, du liesest eben so wenig die Zeitungen, als die Bibel? – Du
              kennst den Prinz Heraklius nicht? den braven Mann nicht, der Persien weggenommen, und
              nächster Tage die Ottomannische Pforte einsprengen wird? Gott sei Dank, daß doch noch
              irgendwo in der Welt Krieg ist! Ich habe lange genug gehofft, es sollte hier wieder
              losgehen. Aber da sitzen sie, und heilen sich die Haut. Nein, Soldat war ich, Soldat
              muß ich wieder sein! Kurz,","['Mensch', ',', 'ich', 'glaube', ',', 'du', 'liesest', 'eben', 'so', 'wenig', 'die', 'Zeitungen', ',', 'als', 'die', 'Bibel', '?', '–', 'Du', 'kennst', 'den', 'Prinz', 'Heraklius', 'nicht', '?', 'den', 'braven', 'Mann', 'nicht', ',', 'der', 'Persien', 'weggenommen', ',', 'und', 'nächster', 'Tage', 'die', 'Ottomannische', 'Pforte', 'einsprengen', 'wird', '?', 'Gott', 'sei', 'Dank', ',', 'daß', 'doch', 'noch', 'irgendwo', 'in', 'der', 'Welt', 'Krieg', 'ist', '!', 'Ich', 'habe', 'lange', 'genug', 'gehofft', ',', 'es', 'sollte', 'hier', 'wieder', 'losgehen', '.', 'Aber', 'da', 'sitzen', 'sie', ',', 'und', 'heilen', 'sich', 'die', 'Haut', '.', 'Nein', ',', 'Soldat', 'war', 'ich', ',', 'Soldat', 'muß', 'ich', 'wieder', 'sein', '!', 'Kurz', ',']"
37,paul_werner (Paul Werner),,,,,LS,negativ,29398,CATMA_3FE0D66E-C184-4873-AF46-5C208E1509FA,41,Emotionen des Leids,negativ,29194,Mitleid,"Was er damit soll? Verzehren soll er sie; verspielen, vertrinken, ver – wie er will.
              Der Mann muß Geld haben, und es ist schlecht genug, daß man ihm das seinige so sauer
              macht!","['Was', 'er', 'damit', 'soll', '?', 'Verzehren', 'soll', 'er', 'sie', ';', 'verspielen', ',', 'vertrinken', ',', 'ver', '–', 'wie', 'er', 'will', '.', 'Der', 'Mann', 'muß', 'Geld', 'haben', ',', 'und', 'es', 'ist', 'schlecht', 'genug', ',', 'daß', 'man', 'ihm', 'das', 'seinige', 'so', 'sauer', 'macht', '!']"
38,,,,,,LS,Emotionale Bewegtheit,29804,CATMA_1B99D8A2-959E-448C-8D82-F1DA0962DF76,72,Emotionale Bewegtheit,Emotionale Bewegtheit,29399,Emotionale Bewegtheit,"Aber ich wüßte schon, was ich täte, wenn ich an seiner Stelle wäre! Ich dächte:
              hol euch hier alle der Henker; und ginge mit Paul Wernern, nach Persien! – Blitz! –
              der Prinz Heraklius muß ja wohl von dem Major Tellheim gehört haben; wenn er auch
              schon seinen gewesenen Wachtmeister, Paul Wernern, nicht kennt. Unsere Affaire bei den
              Katzenhäusern –
","['Aber', 'ich', 'wüßte', 'schon', ',', 'was', 'ich', 'täte', ',', 'wenn', 'ich', 'an', 'seiner', 'Stelle', 'wäre', '!', 'Ich', 'dächte', ':', 'hol', 'euch', 'hier', 'alle', 'der', 'Henker', ';', 'und', 'ginge', 'mit', 'Paul', 'Wernern', ',', 'nach', 'Persien', '!', '–', 'Blitz', '!', '–', 'der', 'Prinz', 'Heraklius', 'muß', 'ja', 'wohl', 'von', 'dem', 'Major', 'Tellheim', 'gehört', 'haben', ';', 'wenn', 'er', 'auch', 'schon', 'seinen', 'gewesenen', 'Wachtmeister', ',', 'Paul', 'Wernern', ',', 'nicht', 'kennt', '.', 'Unsere', 'Affaire', 'bei', 'den', 'Katzenhäusern', '–']"
39,,,,,,LS,negativ,29995,CATMA_B8497415-4B72-4295-B8C6-4CCCB7C6892D,28,Emotionen der Ablehnung,negativ,29849,Ärger,"Du mir? – Ich merke wohl, daß eine schöne Disposition über deinen Verstand geht. Ich
              will meine Perlen nicht vor die Säue werfen. – ","['Du', 'mir', '?', '–', 'Ich', 'merke', 'wohl', ',', 'daß', 'eine', 'schöne', 'Disposition', 'über', 'deinen', 'Verstand', 'geht', '.', 'Ich', 'will', 'meine', 'Perlen', 'nicht', 'vor', 'die', 'Säue', 'werfen', '.', '–']"
40,paul_werner (Paul Werner),,just (Just),,,LS,negativ,31143,CATMA_C9D077B9-F0D5-4E42-8E34-BEC00291F55D,18,Emotionen der Ablehnung,negativ,31077,Ärger,"Des Abends? – aufpaßten? – ihrer zwei, einem? – Das ist nichts. –
","['Des', 'Abends', '?', '–', 'aufpaßten', '?', '–', 'ihrer', 'zwei', ',', 'einem', '?', '–', 'Das', 'ist', 'nichts', '.', '–']"
41,paul_werner (Paul Werner),,,,,LS,negativ,31326,CATMA_6C83E2D9-E773-4F98-9036-474C2D699978,23,Emotionen der Ablehnung,negativ,31215,Ärger,"Sengen und brennen? – Kerl, man hörts, daß du Packknecht gewesen bist, und nicht
              Soldat; – pfui!
","['Sengen', 'und', 'brennen', '?', '–', 'Kerl', ',', 'man', 'hörts', ',', 'daß', 'du', 'Packknecht', 'gewesen', 'bist', ',', 'und', 'nicht', 'Soldat', ';', '–', 'pfui', '!']"
42,franziska (Franziska),,,Zustand,,LS,Emotionale Bewegtheit,32342,CATMA_B4DC2F39-D6DF-4AEB-8C65-723F9CA7CDF4,58,Emotionale Bewegtheit,Emotionale Bewegtheit,32030,Emotionale Bewegtheit,"Wer kann in den verzweifelten großen Städten schlafen? Die Karossen, die
              Nachtwächter, die Trommeln, die Katzen, die Korporals – das hört nicht auf zu rasseln,
              zu schreien, zu wirbeln, zu mauen, zu fluchen; gerade, als ob die Nacht zu nichts
              weniger wäre, als zur Ruhe. ","['Wer', 'kann', 'in', 'den', 'verzweifelten', 'großen', 'Städten', 'schlafen', '?', 'Die', 'Karossen', ',', 'die', 'Nachtwächter', ',', 'die', 'Trommeln', ',', 'die', 'Katzen', ',', 'die', 'Korporals', '–', 'das', 'hört', 'nicht', 'auf', 'zu', 'rasseln', ',', 'zu', 'schreien', ',', 'zu', 'wirbeln', ',', 'zu', 'mauen', ',', 'zu', 'fluchen', ';', 'gerade', ',', 'als', 'ob', 'die', 'Nacht', 'zu', 'nichts', 'weniger', 'wäre', ',', 'als', 'zur', 'Ruhe', '.']"
43,das_fraeulein (Minna von Barnhelm),,,Zustand,,LS,negativ,33442,CATMA_4B4804A5-26CE-4655-9E2E-4F27CF8900B4,34,Emotionen des Leids,negativ,33241,Leid,"Es sind nicht alle Offiziere Tellheims. Die Wahrheit zu sagen, ich ließ ihm das
              Kompliment auch bloß machen, um Gelegenheit zu haben, mich nach diesem bei ihm zu
              erkundigen.","['Es', 'sind', 'nicht', 'alle', 'Offiziere', 'Tellheims', '.', 'Die', 'Wahrheit', 'zu', 'sagen', ',', 'ich', 'ließ', 'ihm', 'das', 'Kompliment', 'auch', 'bloß', 'machen', ',', 'um', 'Gelegenheit', 'zu', 'haben', ',', 'mich', 'nach', 'diesem', 'bei', 'ihm', 'zu', 'erkundigen', '.']"
44,,,,Ereignis,,LS,positiv,33559,CATMA_B39F1C3A-AB3D-48A0-8AFB-8837BD6ED55A,22,Emotionen der Freude,positiv,33445,Freude,"Franziska, mein Herz sagt es mir,  daß meine Reise
              glücklich sein wird, daß ich ihn finden werde. –
","['Franziska', ',', 'mein', 'Herz', 'sagt', 'es', 'mir', ',', 'daß', 'meine', 'Reise', 'glücklich', 'sein', 'wird', ',', 'daß', 'ich', 'ihn', 'finden', 'werde', '.', '–']"
45,,,,,,LS,positiv,34592,CATMA_0FE1303B-77E0-48EC-A14D-AB1B1F6C12F0,21,Emotionen der Zuneigung,positiv,34469,Liebe,"Und weißt du, warum ich eigentlich diese Anmerkung so gut finde? Sie hat viele
              Beziehung auf meinen Tellheim.","['Und', 'weißt', 'du', ',', 'warum', 'ich', 'eigentlich', 'diese', 'Anmerkung', 'so', 'gut', 'finde', '?', 'Sie', 'hat', 'viele', 'Beziehung', 'auf', 'meinen', 'Tellheim', '.']"
46,das_fraeulein (Minna von Barnhelm),,,,,LS,positiv,34932,CATMA_26D3F4D0-EF7F-452F-B625-714CBBEB0555,46,Emotionen der Zuneigung,positiv,34670,Liebe,"Freund und Feind sagen, daß er der tapferste Mann von der Welt ist. Aber wer hat ihn
              von Tapferkeit jemals reden hören? Er hat das rechtschaffenste Herz, aber
              Rechtschaffenheit und Edelmut sind Worte, die er nie auf die Zunge bringt.
","['Freund', 'und', 'Feind', 'sagen', ',', 'daß', 'er', 'der', 'tapferste', 'Mann', 'von', 'der', 'Welt', 'ist', '.', 'Aber', 'wer', 'hat', 'ihn', 'von', 'Tapferkeit', 'jemals', 'reden', 'hören', '?', 'Er', 'hat', 'das', 'rechtschaffenste', 'Herz', ',', 'aber', 'Rechtschaffenheit', 'und', 'Edelmut', 'sind', 'Worte', ',', 'die', 'er', 'nie', 'auf', 'die', 'Zunge', 'bringt', '.']"
47,das_fraeulein (Minna von Barnhelm),,,,,LS,positiv,35020,CATMA_32DDBC8A-6D12-4FCF-B2A9-1AE7879E0011_0,5,Emotionen der Zuneigung,positiv,34997,Liebe,Er spricht von keiner; ,"['Er', 'spricht', 'von', 'keiner', ';']"
48,das_fraeulein (Minna von Barnhelm),,,,,LS,positiv,35042,CATMA_32DDBC8A-6D12-4FCF-B2A9-1AE7879E0011_1,5,Emotionen der Zuneigung,positiv,35019,Liebe," denn ihm fehlt keine.
","['denn', 'ihm', 'fehlt', 'keine', '.']"
49,das_fraeulein (Minna von Barnhelm),,,,,LS,negativ,35462,CATMA_D9290D66-9817-4FDE-B2BF-0952419FD537,3,Emotionen des Leids,negativ,35446,Mitleid,Du Unglückliche!,"['Du', 'Unglückliche', '!']"
50,,,,,,LS,negativ,35652,CATMA_17F6AD1D-51E5-4CB5-9F2E-FC5DEDD9F0E0,13,Emotionen des Leids,negativ,35586,Leid,"Ach! seit dem Frieden hat er mir nur ein einzigesmal geschrieben.
","['Ach', '!', 'seit', 'dem', 'Frieden', 'hat', 'er', 'mir', 'nur', 'ein', 'einzigesmal', 'geschrieben', '.']"
