,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,File
21,KASPAR,,,Objekt,,VH,positiv,22317,CATMA_F790E3C9-1936-46C5-B847-54BE9C59EB35,34,Emotionen der Freude,positiv,22172,Freude,"Begeistern! zum Narrn machen – ha! ha! ha! – 200 Ducaten, Sacerlotte – das ist eine Kund-schaft – nu nu dafür sollen’s aber auch bedient seyn –","['Begeistern', '!', 'zum', 'Narrn', 'machen', '–', 'ha', '!', 'ha', '!', 'ha', '!', '–', '200', 'Ducaten', ',', 'Sacerlotte', '–', 'das', 'ist', 'eine', 'Kund-schaft', '–', 'nu', 'nu', 'dafür', 'sollen', '’', 's', 'aber', 'auch', 'bedient', 'seyn', '–']",Mandoletti_main_emotion_class_filtered.csv
22,KASPAR,KASPAR,WELLBACH_Lindenthal,,,VH,positiv,24589,CATMA_84A51453-F4A9-4716-A13A-E7E0825D37A9,26,Emotionen der Freude,positiv,24453,Schadenfreude,Nu das wußt ich schon – ich könnte ihn brauchen meine altgeebackenen Butterkrapfeln auf-zuheben – (für sich) er merkt den Spaaß!! – ,"['Nu', 'das', 'wußt', 'ich', 'schon', '–', 'ich', 'könnte', 'ihn', 'brauchen', 'meine', 'altgeebackenen', 'Butterkrapfeln', 'auf-zuheben', '–', '(', 'für', 'sich', ')', 'er', 'merkt', 'den', 'Spaaß', '!', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
23,,,,,,VH,negativ,25445,CATMA_4196568E-2A20-4218-A3D3-B26F72718449,22,Emotionen des Leids,negativ,25339,Leid,Aber wie Sie sich auch nur mit ihm so lange aufhalten konnten! ich habe wie auf Kohlen ge-standen!! – ,"['Aber', 'wie', 'Sie', 'sich', 'auch', 'nur', 'mit', 'ihm', 'so', 'lange', 'aufhalten', 'konnten', '!', 'ich', 'habe', 'wie', 'auf', 'Kohlen', 'ge-standen', '!', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
24,,,,,,VH,negativ,25704,CATMA_D7B0E5B5-5281-4DE3-828E-A7581B157C77,33,Emotionen der Ablehnung,negativ,25571,Ärger,O! der Spitzbub! – aber ich wills ihm bezahlen – Ja! ja! meine Mutter hat mir’s immer gepredigt – daß kein Mann etwas nutz sey!! ,"['O', '!', 'der', 'Spitzbub', '!', '–', 'aber', 'ich', 'wills', 'ihm', 'bezahlen', '–', 'Ja', '!', 'ja', '!', 'meine', 'Mutter', 'hat', 'mir', '’', 's', 'immer', 'gepredigt', '–', 'daß', 'kein', 'Mann', 'etwas', 'nutz', 'sey', '!', '!']",Mandoletti_main_emotion_class_filtered.csv
25,,impliziter_Autor,,,,VH,positiv,26929,CATMA_63B6DAF9-830C-4F42-8EC2-24E65CFABA8C,4,Emotionen der Zuneigung,positiv,26911,Lust,er will sie küssen,"['er', 'will', 'sie', 'küssen']",Mandoletti_main_emotion_class_filtered.csv
26,WELLBACH_Lindenthal,,,,,VH,negativ,28275,CATMA_4BEA4993-9B2D-496A-939E-75CA13CB1807,2,Emotionen der Ablehnung,negativ,28267,Ärger,Dumkopf!,"['Dumkopf', '!']",Mandoletti_main_emotion_class_filtered.csv
27,WELLBACH_Lindenthal,,,,,VH,negativ,28706,CATMA_B0DC6791-7E36-47EB-8114-4BA30D78163D,3,Emotionen der Ablehnung,negativ,28693,Ärger,Schurke! – ,"['Schurke', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
28,,,unbekannt,,,VH,positiv,29247,CATMA_90FC54D3-7DE1-4F30-95BC-CE470998A514,16,Emotionen der Zuneigung,positiv,29155,Liebe,"Freund, Sie sollen wahrlich meinem armen kranken Herzen der geschickte Medikus seyn!! – ","['Freund', ',', 'Sie', 'sollen', 'wahrlich', 'meinem', 'armen', 'kranken', 'Herzen', 'der', 'geschickte', 'Medikus', 'seyn', '!', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
29,,,unbekannt,,,VH,positiv,29450,CATMA_7FFBFE81-CC4F-4F17-A739-A413C4C0D2EB,16,Emotionen der Zuneigung,positiv,29374,Liebe,"Hohl’ mich der Teufel! – Ein Liebesfieber, und eines der sonderbarsten! – ","['Hohl', '’', 'mich', 'der', 'Teufel', '!', '–', 'Ein', 'Liebesfieber', ',', 'und', 'eines', 'der', 'sonderbarsten', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
30,,,,,,VH,positiv,29909,CATMA_8A20A33B-991F-433D-A0D5-8E6B34AF8AA6,50,Emotionen der Zuneigung,positiv,29664,Liebe,"Kurz ich sah ein schönes weibliches Geschöpf, in der Maske einer Nobile di Vene-tia17, tanzte mit ihr – ward warm – und verliebt – ich verfolgte sie  auf dem Fuß, sie wich mir aber aus – doch nur darum, daß ich eifriger seyn sollte! – ","['Kurz', 'ich', 'sah', 'ein', 'schönes', 'weibliches', 'Geschöpf', ',', 'in', 'der', 'Maske', 'einer', 'Nobile', 'di', 'Vene-tia17', ',', 'tanzte', 'mit', 'ihr', '–', 'ward', 'warm', '–', 'und', 'verliebt', '–', 'ich', 'verfolgte', 'sie', 'auf', 'dem', 'Fuß', ',', 'sie', 'wich', 'mir', 'aber', 'aus', '–', 'doch', 'nur', 'darum', ',', 'daß', 'ich', 'eifriger', 'seyn', 'sollte', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
31,WELLBACH_Lindenthal,,,,,VH,negativ,33474,CATMA_5C1D9F9C-5DB6-4AC9-8375-0E3AE3555E93,11,Emotionen der Ablehnung,negativ,33422,Ärger,"je zum Teufel mit Ihren Besorgnissen, eilen Sie nur!","['je', 'zum', 'Teufel', 'mit', 'Ihren', 'Besorgnissen', ',', 'eilen', 'Sie', 'nur', '!']",Mandoletti_main_emotion_class_filtered.csv
32,JAKOB,,,,,VH,positiv,36325,CATMA_BA391D41-DB7F-43B6-87DF-8BC8715F91CD,34,Emotionen der Freude,positiv,36198,Schadenfreude,"O! jekes Herr Vater Papa, das Ding ist ein Spaß – da seh’ns nur einmal, was der alte Lümmel für Sprüng macht – ha! ha! ha! ","['O', '!', 'jekes', 'Herr', 'Vater', 'Papa', ',', 'das', 'Ding', 'ist', 'ein', 'Spaß', '–', 'da', 'seh', '’', 'ns', 'nur', 'einmal', ',', 'was', 'der', 'alte', 'Lümmel', 'für', 'Sprüng', 'macht', '–', 'ha', '!', 'ha', '!', 'ha', '!']",Mandoletti_main_emotion_class_filtered.csv
33,,,,,,VH,negativ,36426,CATMA_626A201F-EFCA-4434-8CD3-4B23C3C008BA,18,Emotionen des Leids,negativ,36345,Leid,Monsieur Jack – so sind Sie nie vernünftig. Sie hauen mir ja die Beine wund! – ,"['Monsieur', 'Jack', '–', 'so', 'sind', 'Sie', 'nie', 'vernünftig', '.', 'Sie', 'hauen', 'mir', 'ja', 'die', 'Beine', 'wund', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
34,,,,,,VH,positiv,36588,CATMA_8E1E46C0-273E-462A-AC24-1F6AFB63C4EF,41,Emotionen der Freude,positiv,36435,Schadenfreude,Ha! ha! ha! das ist eben meine Freude – wann ich Sie so hüpfen seh – ha! ha! ha! – da schau der Vater nur einmal zu – was er für Bocksprüng macht! – ,"['Ha', '!', 'ha', '!', 'ha', '!', 'das', 'ist', 'eben', 'meine', 'Freude', '–', 'wann', 'ich', 'Sie', 'so', 'hüpfen', 'seh', '–', 'ha', '!', 'ha', '!', 'ha', '!', '–', 'da', 'schau', 'der', 'Vater', 'nur', 'einmal', 'zu', '–', 'was', 'er', 'für', 'Bocksprüng', 'macht', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
35,,,,,,VH,positiv,38061,CATMA_F3D54624-15EA-45D5-8C88-8B3153437BF6,26,Emotionen der Freude,positiv,37946,Schadenfreude,Ey was Gesundheit – da hab ich meine größte Freud – wenn ich den Kerl so hüpfen sehe – allons marche27 – hi! ha! ,"['Ey', 'was', 'Gesundheit', '–', 'da', 'hab', 'ich', 'meine', 'größte', 'Freud', '–', 'wenn', 'ich', 'den', 'Kerl', 'so', 'hüpfen', 'sehe', '–', 'allons', 'marche27', '–', 'hi', '!', 'ha', '!']",Mandoletti_main_emotion_class_filtered.csv
36,,,,,,VH,negativ,38592,CATMA_F6684B61-21DC-461F-B234-1496AC1F2D7F,41,Emotionen der Ablehnung,negativ,38392,Ärger,"Wie? was? du ehrvergessenes Kind – mich nennst du Mutter? – Mutter, wie ein Bauernjunge. Hab ich dir nicht schon hundertmal gesagt, daß Vater und Mutter in der großen Welt Ihro Gnaden heißen? – ","['Wie', '?', 'was', '?', 'du', 'ehrvergessenes', 'Kind', '–', 'mich', 'nennst', 'du', 'Mutter', '?', '–', 'Mutter', ',', 'wie', 'ein', 'Bauernjunge', '.', 'Hab', 'ich', 'dir', 'nicht', 'schon', 'hundertmal', 'gesagt', ',', 'daß', 'Vater', 'und', 'Mutter', 'in', 'der', 'großen', 'Welt', 'Ihro', 'Gnaden', 'heißen', '?', '–']",Mandoletti_main_emotion_class_filtered.csv
37,,,,,,VH,negativ,39013,CATMA_2F224AAD-A76D-4F3F-AF66-E4DD0A4ECA34,46,Emotionen des Leids,negativ,38814,Leid,"Was? – mich auf mein Zimmer – ich hab nichts gethan (er fängt an zu weinen) o jekes, ich mag nicht – ich will nicht – ich möchte spazieren fahren – ausfahren will ich – oder – ich henk mich auf! ","['Was', '?', '–', 'mich', 'auf', 'mein', 'Zimmer', '–', 'ich', 'hab', 'nichts', 'gethan', '(', 'er', 'fängt', 'an', 'zu', 'weinen', ')', 'o', 'jekes', ',', 'ich', 'mag', 'nicht', '–', 'ich', 'will', 'nicht', '–', 'ich', 'möchte', 'spazieren', 'fahren', '–', 'ausfahren', 'will', 'ich', '–', 'oder', '–', 'ich', 'henk', 'mich', 'auf', '!']",Mandoletti_main_emotion_class_filtered.csv
38,,,,,,VH,negativ,41527,CATMA_2C401170-EFB6-4868-B91A-5D572D9B1E8C,42,Emotionen des Leids,negativ,41316,Mitleid,"O! erinnere mich nicht daran, oder ich krieg dir gleich eine Ohnmacht – das arme Kind – Zum Glück weiß sie sich in ihr Schicksal zu fassen – und ich will ja alles anwenden ihr Schicksal erträglich zu machen!","['O', '!', 'erinnere', 'mich', 'nicht', 'daran', ',', 'oder', 'ich', 'krieg', 'dir', 'gleich', 'eine', 'Ohnmacht', '–', 'das', 'arme', 'Kind', '–', 'Zum', 'Glück', 'weiß', 'sie', 'sich', 'in', 'ihr', 'Schicksal', 'zu', 'fassen', '–', 'und', 'ich', 'will', 'ja', 'alles', 'anwenden', 'ihr', 'Schicksal', 'erträglich', 'zu', 'machen', '!']",Mandoletti_main_emotion_class_filtered.csv
39,,,,,,VH,negativ,42362,CATMA_C9F2B08F-7916-497E-934C-DA07F60F65E8,49,Emotionen der Ablehnung,negativ,42145,Ärger," Ihr Tölpel, was soll denn das verfluchte Lügen, da sitzt er ja! – Da sehens nur, was das für ein Gesindl ist – da suchens mich an allen Ecken – und wie ich komm, so lassens mich nicht einmal zur Thür herein! – ","['Ihr', 'Tölpel', ',', 'was', 'soll', 'denn', 'das', 'verfluchte', 'Lügen', ',', 'da', 'sitzt', 'er', 'ja', '!', '–', 'Da', 'sehens', 'nur', ',', 'was', 'das', 'für', 'ein', 'Gesindl', 'ist', '–', 'da', 'suchens', 'mich', 'an', 'allen', 'Ecken', '–', 'und', 'wie', 'ich', 'komm', ',', 'so', 'lassens', 'mich', 'nicht', 'einmal', 'zur', 'Thür', 'herein', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
40,KASPAR,,,,,VH,positiv,43381,CATMA_EB5F61B5-BFFB-49F7-B934-5720D5800B01,16,Emotionen der Freude,positiv,43319,Freude,"Recht wohl! – (für sich) Fikrament, das Ding geht noble zu! ","['Recht', 'wohl', '!', '–', '(', 'für', 'sich', ')', 'Fikrament', ',', 'das', 'Ding', 'geht', 'noble', 'zu', '!']",Mandoletti_main_emotion_class_filtered.csv
41,,,,,,VH,positiv,43713,CATMA_35A5BD1E-5CAA-473D-99EF-B6B8F9EABEC9,7,Emotionen der Freude,positiv,43686,Freude,Das soll mich freuen!! – ,"['Das', 'soll', 'mich', 'freuen', '!', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
42,,,,,,VH,positiv,45361,CATMA_73BBA769-2C58-4CBD-9A05-5AC98C00E736,25,Emotionen der Zuneigung,positiv,45247,Liebe,Bis ins’s Grab will ich Sie verfolgen – und da die Ruhe suchen – die mir ihre Blicke auf immer geraubt haben. ,"['Bis', 'ins', '’', 's', 'Grab', 'will', 'ich', 'Sie', 'verfolgen', '–', 'und', 'da', 'die', 'Ruhe', 'suchen', '–', 'die', 'mir', 'ihre', 'Blicke', 'auf', 'immer', 'geraubt', 'haben', '.']",Mandoletti_main_emotion_class_filtered.csv
43,WELLBACH_Lindenthal,WELLBACH_Lindenthal,AMALIA_Blande,,,VH,positiv,45458,CATMA_34DC99E2-BDFE-4951-BAE6-855FF9254729,11,Emotionen der Zuneigung,positiv,45422,Liebe,Liebe! – Liebe! – oder den Tod! – ,"['Liebe', '!', '–', 'Liebe', '!', '–', 'oder', 'den', 'Tod', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
44,,AMALIA_Blande,unpersönlich,,,VH,positiv,46162,CATMA_E356A08E-84A0-4DE9-862F-1B17FDCE54CB,14,Emotionen der Zuneigung,positiv,46095,Liebe,"Sie waren wohl schon sehr oft so glücklich, geliebt zu werden? – ","['Sie', 'waren', 'wohl', 'schon', 'sehr', 'oft', 'so', 'glücklich', ',', 'geliebt', 'zu', 'werden', '?', '–']",Mandoletti_main_emotion_class_filtered.csv
45,,,,,,VH,positiv,46272,CATMA_D9C17159-B1B0-452C-A727-5CA8D5A04A4E,22,Emotionen der Zuneigung,positiv,46171,Liebe,"Noch nie so glücklich, als itzt – wenn Sie das Wort Liebe, mir von Ihren Lippen thönen lassen! – ","['Noch', 'nie', 'so', 'glücklich', ',', 'als', 'itzt', '–', 'wenn', 'Sie', 'das', 'Wort', 'Liebe', ',', 'mir', 'von', 'Ihren', 'Lippen', 'thönen', 'lassen', '!', '–']",Mandoletti_main_emotion_class_filtered.csv
46,WELLBACH_Lindenthal,,,,,VH,positiv,48809,CATMA_08F5CEDC-F39D-49F9-8CC2-D14F9569DBF3,14,Emotionen der Zuneigung,positiv,48750,Liebe,"Sie ist in meinen Händen, so wie Ihr Bild in meinem Herzen!","['Sie', 'ist', 'in', 'meinen', 'Händen', ',', 'so', 'wie', 'Ihr', 'Bild', 'in', 'meinem', 'Herzen', '!']",Mandoletti_main_emotion_class_filtered.csv
47,WELLBACH_Lindenthal,,AMALIA_Blande,,,VH,positiv,49209,CATMA_49F04EE0-9EC1-4F9E-BB39-132E3DBC6222,19,Emotionen der Zuneigung,positiv,49115,Liebe,"Mit dem Portrait in Händen, und dem Original im Herzen, weis die Liebe mit wenigem sehr viel","['Mit', 'dem', 'Portrait', 'in', 'Händen', ',', 'und', 'dem', 'Original', 'im', 'Herzen', ',', 'weis', 'die', 'Liebe', 'mit', 'wenigem', 'sehr', 'viel']",Mandoletti_main_emotion_class_filtered.csv
48,,,AMALIA_Blande,,,VH,positiv,50457,CATMA_0291C187-5396-4626-9420-83A97E4EDFA2,13,Emotionen der Zuneigung,positiv,50401,Liebe,aber ich liebe – und was thut man da nicht alles. – ,"['aber', 'ich', 'liebe', '–', 'und', 'was', 'thut', 'man', 'da', 'nicht', 'alles', '.', '–']",Mandoletti_main_emotion_class_filtered.csv
49,KASPAR,impliziter_Autor,,Objekt,,VH,negativ,57659,CATMA_0741FE66-9093-4241-BCE8-44F9A6EE9F03,4,Emotionen der Angst,negativ,57632,Angst,der ihr ängstlich nachlauft,"['der', 'ihr', 'ängstlich', 'nachlauft']",Mandoletti_main_emotion_class_filtered.csv
