,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
65,CATMA_62B1223B-E647-45F9-B855-5BE7FC74E86F,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,anaclerio,single,positiv,positiv,Emotionen der Freude,Freude," und wie das Volck über seiner unverhofften Kühnheit gleichsam entzücket wird.
",12,8297,8376,ER,MALE
66,CATMA_5F920FFC-0BFB-4B59-9EC5-60EE5AD459B6,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,roderigo,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Unsre Mußquetirer sollen dieser Entzückung gar bald abhelffliche Masse geben.,11,8387,8464,ER,MALE
67,CATMA_5F920FFC-0BFB-4B59-9EC5-60EE5AD459B6,,Gemeintes_Target:_Charakter,target,Charakter,implicit,masaniello,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Unsre Mußquetirer sollen dieser Entzückung gar bald abhelffliche Masse geben.,11,8387,8464,ER,MALE
68,CATMA_DBA79F7E-8C33-43B4-A754-8B7DB57ED5A5,CATMA_49BDFA81-B241-4847-A66B-A2D5D688A424,Explizite_Source:_Experiencer,source,Experiencer,explicit,anaclerio,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,Ich,1,8952,8955,ER,MALE
69,CATMA_49BDFA81-B241-4847-A66B-A2D5D688A424,,Gemeintes_Target:_Charakter,target,Charakter,implicit,roderigo,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Ich bin gehorsam.
",4,8952,8970,ER,MALE
70,CATMA_FF8A21C1-6A33-4992-BCC2-03382A509BB2_0,CATMA_DCEC703D-69B3-4FD9-B491-60D4EC8F405A,Explizite_Source:_Experiencer,source,Experiencer,explicit,roderigo,single,negativ,negativ,Emotionen der Angst,Angst,Ich,1,9180,9183,ER,MALE
71,CATMA_522F78AB-7EAD-4E65-ABAC-DF13D9632E53_0,CATMA_DCEC703D-69B3-4FD9-B491-60D4EC8F405A,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst,ein Ungewitter über diese Stadt aufziehen,6,9204,9245,ER,Nicht-Charakter
72,CATMA_82CD7FF0-A684-4CC2-9391-A6E5B3827453,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,ferrante,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"Ihr ExcELLENtz werden um dero eigenen Wohlfarth willen gebeten / des Unglücks in diesem Pallaste nicht zu erwarten. Ein verdamter Fischer-Knecht unternimt sich einer That / darüber gantz Neapolis zu einem Steinhauffen werden möchte.
",36,9783,10016,ER,MALE
73,CATMA_83B81FBD-8D81-46C0-8D78-819A3C0584DC,CATMA_32B7CFA5-156B-44D5-A5D8-D3A0B5E0FCD2,Explizite_Source:_Experiencer,source,Experiencer,explicit,roderigo,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,mir,1,10034,10037,ER,MALE
74,CATMA_07F36867-94BE-4837-8474-F3DE10BC0B1C,CATMA_32B7CFA5-156B-44D5-A5D8-D3A0B5E0FCD2,Explizites_Target:_Charakter,target,Charakter,explicit,masaniello,single,negativ,negativ,Emotionen der Ablehnung,Abscheu, ein närrischer Fischer-Bube ,3,10063,10092,ER,MALE
75,CATMA_99E3B803-AA96-4D21-B6F1-26E841D8EEF7,CATMA_0621E3D2-D848-4969-927D-FDAD73F48448,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst,"so kan ihm nach seinen Willen geschehen.
",8,10179,10220,ER,Nicht-Charakter
76,CATMA_0621E3D2-D848-4969-927D-FDAD73F48448,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,roderigo,single,negativ,negativ,Emotionen der Angst,Angst," vielleicht eh dieser Tag vergehet / so kan ihm nach seinen Willen geschehen.
",14,10142,10220,ER,MALE
77,CATMA_3FF99946-0169-47A6-A81A-7FFCF7601B9A,CATMA_7195732C-2F74-4E34-B49B-F78CE0698CD4,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst,so geht der gantze Sturm auff den Pallast dergestalt loß /,11,10346,10404,ER,Nicht-Charakter
78,CATMA_7195732C-2F74-4E34-B49B-F78CE0698CD4,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,ferrante,single,negativ,negativ,Emotionen der Angst,Angst,"Immittels wolle sich ihr ExcELLENtz dero hohen Person versichern. Es ist dem unbändigen Gesinde gar ein leichtes / so geht der gantze Sturm auff den Pallast dergestalt loß / dabey wir alle das euserste Unglück erwarten müsten.
",39,10231,10458,ER,MALE
79,CATMA_0FB3ED6D-A787-40DB-A526-9458EBD3380D,CATMA_9290A236-509C-4B9E-AA1D-CD83412408EC,Explizite_Source:_Experiencer,source,Experiencer,explicit,roderigo,single,negativ,negativ,Emotionen des Leids,Leid,mir,1,10561,10564,ER,MALE
80,CATMA_1958BCB4-60DC-4A94-B986-45E7CEF88C4E,CATMA_9290A236-509C-4B9E-AA1D-CD83412408EC,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen des Leids,Leid,us der Stadt in ein Castel zu weichen ,8,10581,10619,ER,Nicht-Charakter
81,CATMA_95CEB572-611C-4FD0-BCD6-206E7A37A9C3,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,ferrante,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Die Sonne operiret von dem Firmament biß in die Unter-Welt: Und ein Vice-Roy kan von dem neuen Castel seine Gegenwart biß in die Stadt bekant machen.
",28,10700,10850,ER,MALE
82,CATMA_95CEB572-611C-4FD0-BCD6-206E7A37A9C3,,Gemeintes_Target:_Charakter,target,Charakter,implicit,roderigo,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Die Sonne operiret von dem Firmament biß in die Unter-Welt: Und ein Vice-Roy kan von dem neuen Castel seine Gegenwart biß in die Stadt bekant machen.
",28,10700,10850,ER,MALE
83,CATMA_9EE422AB-26A5-487E-9810-651BF07DC9B9,CATMA_70F08FC6-33BD-405F-B8B5-1E327614271C,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,positiv,positiv,Emotionen der Freude,Schadenfreude,unsere Flucht ,2,10884,10898,ER,Nicht-Charakter
