,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
10,CATMA_079118DB-A34B-49BB-8B6F-3F3CE548424B,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,robert,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"Wie? der Name derjenigen, die alle deine Liebe besitzt? die dir ebensoviel Liebe
              wieder zurückgibt?
",19,2715,2829,LSch,MALE
11,CATMA_823AE49D-A83D-477F-A21C-90A36A0862D4,CATMA_710DA0CA-90D2-4B8A-8698-AAC97F43CE5A,Explizites_Target:_Charakter,target,Charakter,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe," derjenigen, die alle deine Liebe besitzt",7,2728,2769,LSch,FEMALE
12,CATMA_710DA0CA-90D2-4B8A-8698-AAC97F43CE5A,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"der Name derjenigen, die alle deine Liebe besitzt",9,2720,2769,LSch,MALE
13,CATMA_710DA0CA-90D2-4B8A-8698-AAC97F43CE5A,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,robert,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"der Name derjenigen, die alle deine Liebe besitzt",9,2720,2769,LSch,MALE
14,CATMA_DD742B1E-3E00-42E3-A96A-BA2EF6D62914,CATMA_0848B969-3462-4EC1-8D55-B4FABCB48D99,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,die ,1,2771,2775,LSch,FEMALE
15,CATMA_DC4A4D5B-F812-4AAF-A535-91F9AB1C4CAD,CATMA_0848B969-3462-4EC1-8D55-B4FABCB48D99,Explizites_Target:_Charakter,target,Charakter,explicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,dir ,1,2775,2779,LSch,MALE
16,CATMA_0848B969-3462-4EC1-8D55-B4FABCB48D99,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,robert,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"die dir ebensoviel Liebe
              wieder zurückgibt?
",7,2771,2829,LSch,MALE
17,CATMA_F01CC8E9-886C-46DA-93EC-8B92F7546536_0,CATMA_4808E697-B8B9-4CEF-B588-DF25921393E9,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,die ,1,2857,2861,LSch,FEMALE
18,CATMA_6AC702AB-BDAE-4B60-8300-8C22E5B1F929_0,CATMA_4808E697-B8B9-4CEF-B588-DF25921393E9,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,willhelm,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,mich ,1,2861,2866,LSch,MALE
19,CATMA_571FA715-B346-4682-9F5C-DC931AFFC737_0,CATMA_4808E697-B8B9-4CEF-B588-DF25921393E9,Explizites_Target:_Charakter,target,Charakter,explicit,willhelm,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,mich ,1,2861,2866,LSch,MALE
20,CATMA_2F460C9E-A90C-4C2C-B1A9-37F2DAF07AE2_0,CATMA_42BDE606-82BA-4091-91FF-6D00C85A21DC,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,Mich ,1,3172,3177,LSch,MALE
21,CATMA_10769D77-7690-475B-9DC5-C855B9435271_0,CATMA_42BDE606-82BA-4091-91FF-6D00C85A21DC,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,die Verbergung dieses Geheimnisses,4,3282,3316,LSch,Nicht-Charakter
22,CATMA_5C31ADBC-3682-401D-9E20-C1E2F4F81621_0,CATMA_42BDE606-82BA-4091-91FF-6D00C85A21DC,Explizites_Target:_Charakter,target,Charakter,explicit,lucie,single,negativ,negativ,Emotionen des Leids,Leid,sie ,1,3442,3446,LSch,FEMALE
23,CATMA_7798569E-89D7-4383-8FE9-CFA7B67E2F6D_0,CATMA_42BDE606-82BA-4091-91FF-6D00C85A21DC,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,Lobsprüche,1,3912,3922,LSch,Nicht-Charakter
24,CATMA_81B93988-3BF2-4CEC-B93E-DE188F079977_0,CATMA_A7598190-97A9-4C8E-A051-335B3369E5D4,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,sie ,1,3663,3667,LSch,FEMALE
25,CATMA_65988AEC-C79E-4D74-8718-446188846CED,CATMA_A7598190-97A9-4C8E-A051-335B3369E5D4,Explizites_Target:_Charakter,target,Charakter,explicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,mir ,1,3709,3713,LSch,MALE
26,CATMA_CB80E2EF-BF1D-4D3E-9630-BE4FF15D8773,CATMA_A7598190-97A9-4C8E-A051-335B3369E5D4,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,mir ,1,3709,3713,LSch,MALE
27,CATMA_2518E329-C439-4E3D-8D56-E68064AB32D4,CATMA_A7598190-97A9-4C8E-A051-335B3369E5D4,Explizites_Target:_Charakter,target,Charakter,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,sie ,1,3788,3792,LSch,FEMALE
28,CATMA_81B93988-3BF2-4CEC-B93E-DE188F079977_1,CATMA_724B00CD-9301-458D-BB1E-D2A2DD5EA4EA,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,sie ,1,3788,3792,LSch,FEMALE
29,CATMA_2518E329-C439-4E3D-8D56-E68064AB32D4,CATMA_724B00CD-9301-458D-BB1E-D2A2DD5EA4EA,Explizites_Target:_Charakter,target,Charakter,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,sie ,1,3788,3792,LSch,FEMALE
30,CATMA_724B00CD-9301-458D-BB1E-D2A2DD5EA4EA,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"die Proben der Liebe
              und Freundlichkeit schmeichelt, die sie meiner Güte und Menschenliebe zuschreibt",15,3717,3832,LSch,MALE
31,CATMA_7C6A0C0C-FF51-4C2E-9334-08781D4B43CF,CATMA_7D1469BE-0788-4959-A8A0-6961D58A52C5,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,ich ,1,4405,4409,LSch,MALE
32,CATMA_ABC70DB6-D8A8-4025-8761-6D870CCAE122,CATMA_7D1469BE-0788-4959-A8A0-6961D58A52C5,Explizites_Target:_Charakter,target,Charakter,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"eines
              unglücklichen Mädchens",3,4414,4456,LSch,FEMALE
33,CATMA_2BB502D7-B41D-4B0A-BD12-E6794345E5E1_0,CATMA_CAEEE624-228C-4000-8C0E-28A4572AE67E,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,sie,1,4581,4584,LSch,unpersönlich
34,CATMA_4D60ECEE-F138-4C6A-8EC3-AA21DE966DD1_0,CATMA_CAEEE624-228C-4000-8C0E-28A4572AE67E,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,willhelm,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,mich ,1,4788,4793,LSch,MALE
35,CATMA_6D2FC2FA-ADCE-4B07-9CF4-2B067A75701E,CATMA_C9267406-455B-4EAB-A91D-0212393AF351,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,einem Kummer,2,5301,5313,LSch,Nicht-Charakter
36,CATMA_C9267406-455B-4EAB-A91D-0212393AF351,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,"Dein allzu zärtliches Herz überläßt sich einem Kummer, den es entbehren könnte.
",14,5260,5340,LSch,MALE
37,CATMA_C9267406-455B-4EAB-A91D-0212393AF351,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,robert,single,negativ,negativ,Emotionen des Leids,Leid,"Dein allzu zärtliches Herz überläßt sich einem Kummer, den es entbehren könnte.
",14,5260,5340,LSch,MALE
38,CATMA_272E6CF9-CC46-4270-8738-AE2438B2DC21_0,CATMA_BFCC418C-1BFD-4185-8C3D-E8017F5302A5,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,positiv,positiv,Emotionen der Freude,Freude,dich ,1,5362,5367,LSch,MALE
39,CATMA_C134CA5D-535E-4622-81E9-BA8E0C2520D3_0,CATMA_BFCC418C-1BFD-4185-8C3D-E8017F5302A5,Explizites_Target:_Charakter,target,Charakter,explicit,lucie,single,positiv,positiv,Emotionen der Freude,Freude,Sie ,1,5386,5390,LSch,FEMALE
40,CATMA_BFCC418C-1BFD-4185-8C3D-E8017F5302A5,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,robert,single,positiv,positiv,Emotionen der Freude,Freude,"Erinnre dich an Luciens Tugend. Sie allein könnte dir die Empfindung aller deiner
              Schmerzen rauben, wenn sie auch alle gegründet wären",23,5354,5502,LSch,MALE
41,CATMA_0CBB60E6-355C-47DC-8887-B2C0FB462CB6,CATMA_C80F4CFD-99D0-4E6B-831C-2B5086F8A866,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,menschliche Tugend,2,5523,5541,LSch,Nicht-Charakter
42,CATMA_C6CAAF12-4667-411C-92C0-B81CBC0C92E0_0,CATMA_C80F4CFD-99D0-4E6B-831C-2B5086F8A866,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,wir ,1,5560,5564,LSch,MALE
43,CATMA_D0D72F45-0FCF-4D13-BEDA-1F0EEE6190EC_0,CATMA_03B46549-CCB4-4361-88E9-8A09F572FBEF,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,eine quälende Entdeckung,3,5859,5883,LSch,Nicht-Charakter
44,CATMA_31626833-C092-4F06-8588-C55D73D149F2_0,CATMA_03B46549-CCB4-4361-88E9-8A09F572FBEF,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,ich ,1,5912,5916,LSch,MALE
45,CATMA_53622834-F484-40DE-BF47-CCA9AA55E5B7,CATMA_03B46549-CCB4-4361-88E9-8A09F572FBEF,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,"gewisse
              Ahndungen",2,6278,6309,LSch,Nicht-Charakter
46,CATMA_D0D72F45-0FCF-4D13-BEDA-1F0EEE6190EC_1,CATMA_ED1B557C-6102-4938-BFB2-255B46070821,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,Ihr Auge verrät seit einiger Zeit einen heimlichen Gram.,10,5926,5982,LSch,Nicht-Charakter
47,CATMA_ED1B557C-6102-4938-BFB2-255B46070821,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,lucie,single,negativ,negativ,Emotionen des Leids,Leid,Ihr Auge verrät seit einiger Zeit einen heimlichen Gram.,10,5926,5982,LSch,FEMALE
48,CATMA_ED1B557C-6102-4938-BFB2-255B46070821,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,Ihr Auge verrät seit einiger Zeit einen heimlichen Gram.,10,5926,5982,LSch,MALE
49,CATMA_320EB035-EA7F-4FDB-8D07-95EA087BB740_0,CATMA_8EABEF03-261D-474F-8AAB-6B4EAA9C124A,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,mir,1,5990,5993,LSch,MALE
50,CATMA_2B977ABF-C04D-4C29-9392-0650F3417EE3,CATMA_8EABEF03-261D-474F-8AAB-6B4EAA9C124A,Explizites_Target:_Charakter,target,Charakter,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,sie ,1,6017,6021,LSch,FEMALE
51,CATMA_3FAE5E0A-1685-47DD-9816-5DC0C30E1116,CATMA_9000C04C-133A-4437-91A0-F2A9CCA13A96,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,ich ,1,6589,6593,LSch,MALE
52,CATMA_D0791044-DC66-4ACB-A559-E7BA4F54B71A_0,CATMA_9000C04C-133A-4437-91A0-F2A9CCA13A96,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,sie ,1,6632,6636,LSch,FEMALE
53,CATMA_DC0DEFEA-B0BE-4444-9798-BB6DEF77F0F4,CATMA_9000C04C-133A-4437-91A0-F2A9CCA13A96,Explizites_Target:_Charakter,target,Charakter,explicit,karl,single,positiv,positiv,Emotionen der Zuneigung,Liebe,meinen Sohn?,3,6691,6703,LSch,MALE
54,CATMA_5C555A4F-3442-4C48-BA35-F58B0035D5C7,CATMA_0D348A4A-CFD8-4C3D-8090-94886468B0FE,Explizite_Source:_Experiencer,source,Experiencer,explicit,robert,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,mich,1,6756,6760,LSch,MALE
55,CATMA_4F4F791D-AAEA-4D27-ABCD-392C855C100F_0,CATMA_CE8DD14E-1E60-4D15-AA24-54F6A61C2BC9,Explizites_Target:_Charakter,target,Charakter,explicit,karl,single,positiv,positiv,Emotionen der Zuneigung,Liebe,ihn ,1,6976,6980,LSch,MALE
56,CATMA_0EF0B67B-FCD0-4A87-B9EC-C3DAC439D29A_0,CATMA_CE8DD14E-1E60-4D15-AA24-54F6A61C2BC9,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,sie ,1,7016,7020,LSch,FEMALE
57,CATMA_CE8DD14E-1E60-4D15-AA24-54F6A61C2BC9,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"Was können diese öftern Seufzer in seiner Gegenwart, diese Augen, die oft schmachtend
              auf die seinigen geheftet sind, dieser Ton der Zärtlichkeit, der die gemeinsten Reden
              an ihn begleitet, diese Schamröte, mit der sie ihn anblickt, und die ihr ein
              heimlicher Zeuge ihrer Verbrechen wird; was können diese weiter zu bedeuten haben?
",61,6773,7147,LSch,MALE
58,CATMA_C7C6C341-14CD-4861-9233-4EE9B3837013_0,CATMA_07C483E5-7DEF-4C3F-A03F-8D6E96391EFE,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,"mich
",1,7468,7473,LSch,MALE
59,CATMA_4D9814DA-A8A2-4991-8E45-2C27EF310D36,CATMA_28D06968-DB76-49DA-99A3-8785E3931239,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,schütze Luciens Tugend,3,7900,7922,LSch,Nicht-Charakter
60,CATMA_46950F30-01F3-44C9-87B4-8DC9CBE6AD6E,CATMA_28D06968-DB76-49DA-99A3-8785E3931239,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,ich ,1,7988,7992,LSch,MALE
61,CATMA_0DF4A0BE-027B-4829-8E44-3B4FD607FA93,CATMA_28D06968-DB76-49DA-99A3-8785E3931239,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,sie wischt eine Träne,4,8083,8104,LSch,Nicht-Charakter
62,CATMA_79290C19-C7A8-405F-A436-229B3046418C,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Freundschaft, lieber Freund,2,8194,8208,LSch,MALE
63,CATMA_79290C19-C7A8-405F-A436-229B3046418C,,Gemeintes_Target:_Charakter,target,Charakter,implicit,robert,single,positiv,positiv,Emotionen der Zuneigung,Freundschaft, lieber Freund,2,8194,8208,LSch,MALE
64,CATMA_ABD448D0-B390-4EA8-9C3D-BF29440BDC5B_0,CATMA_8FB577BE-65F6-4347-85D2-FDE1A810B65C,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,positiv,positiv,Emotionen der Freude,Freude,mich ,1,8702,8707,LSch,FEMALE
65,CATMA_C28D368D-CAAB-4406-87D6-9265D14220A9,CATMA_8FB577BE-65F6-4347-85D2-FDE1A810B65C,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,positiv,positiv,Emotionen der Freude,Freude,Ihre Sorgfalt und Ihre Zärtlichkeit,5,8707,8742,LSch,Nicht-Charakter
66,CATMA_7D31F585-DB90-4690-B101-23B4C0541F98_0,CATMA_A2460579-100F-4554-A466-5F554E9078FD,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,mich ,1,8976,8981,LSch,MALE
67,CATMA_12115191-910A-4907-B81C-5F1DDE7532D8_0,CATMA_A2460579-100F-4554-A466-5F554E9078FD,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,dieser Gram,2,8993,9004,LSch,Nicht-Charakter
68,CATMA_F5D41DEE-63A4-41A9-BE3E-49779F08ECA6,CATMA_A2460579-100F-4554-A466-5F554E9078FD,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,"ich
",1,9010,9014,LSch,MALE
69,CATMA_79803743-40AF-4EC5-8043-FD0596663BD9,CATMA_A2460579-100F-4554-A466-5F554E9078FD,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,negativ,negativ,Emotionen des Leids,Leid,Sie ,1,9344,9348,LSch,FEMALE
70,CATMA_52BBC734-53C2-434E-B92F-127FEF7F8273,CATMA_A2460579-100F-4554-A466-5F554E9078FD,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen des Leids,Leid,"Sie durch die Hilfe Ihrer Tugend und
              seines Trostes weniger traurig zu sehen",13,9571,9661,LSch,Nicht-Charakter
71,CATMA_683F070F-FDCF-4542-BA8F-1039B2C726FF,CATMA_A2460579-100F-4554-A466-5F554E9078FD,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen des Leids,Leid,mit Ihnen wenigstens klagen zu dürfen,6,9742,9779,LSch,Nicht-Charakter
72,CATMA_7D31F585-DB90-4690-B101-23B4C0541F98_1,CATMA_BC895E75-EE45-4233-875B-E93DAC67EADC_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,"ich
",1,9010,9014,LSch,MALE
73,CATMA_12115191-910A-4907-B81C-5F1DDE7532D8_0,CATMA_BC895E75-EE45-4233-875B-E93DAC67EADC_0,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,dieser Gram,2,8993,9004,LSch,Nicht-Charakter
74,CATMA_F5D41DEE-63A4-41A9-BE3E-49779F08ECA6,CATMA_BC895E75-EE45-4233-875B-E93DAC67EADC_0,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,"ich
",1,9010,9014,LSch,MALE
75,CATMA_BC895E75-EE45-4233-875B-E93DAC67EADC_0,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,"dieser Gram, den ich
              seit einiger Zeit in Ihrem Gesichte lese",12,8993,9068,LSch,MALE
76,CATMA_12115191-910A-4907-B81C-5F1DDE7532D8_1,CATMA_BC895E75-EE45-4233-875B-E93DAC67EADC_1,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,Ihren Leiden,2,9247,9259,LSch,Nicht-Charakter
77,CATMA_BC895E75-EE45-4233-875B-E93DAC67EADC_1,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,bei Ihren Leiden,3,9243,9259,LSch,MALE
78,CATMA_79803743-40AF-4EC5-8043-FD0596663BD9,CATMA_BC895E75-EE45-4233-875B-E93DAC67EADC_2,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,negativ,negativ,Emotionen des Leids,Leid,Sie ,1,9344,9348,LSch,FEMALE
79,CATMA_BC895E75-EE45-4233-875B-E93DAC67EADC_2,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,"Sie würden sonst Ihren Schmerz in seinen freundschaftlichen Busen
              ausschütten",10,9344,9435,LSch,MALE
80,CATMA_D783CFAB-3404-4AE5-B5A2-E329005EB1AC,CATMA_2177B3D2-522F-446F-A960-330AAABA2E9D,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,der ,1,9147,9151,LSch,MALE
81,CATMA_923D6DA4-3F2C-4E07-8648-41FA9F45CB7B,CATMA_2177B3D2-522F-446F-A960-330AAABA2E9D,Explizites_Target:_Charakter,target,Charakter,explicit,lucie,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Sie ,1,9151,9155,LSch,FEMALE
82,CATMA_880177FC-BDBA-47CF-9671-AD7EBE2CC801,CATMA_E0968643-34EC-457A-AA2E-1AD2F1927C2D,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,positiv,positiv,Emotionen der Freude,Freude,Er ,1,9494,9497,LSch,MALE
83,CATMA_52BBC734-53C2-434E-B92F-127FEF7F8273,CATMA_E0968643-34EC-457A-AA2E-1AD2F1927C2D,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,positiv,positiv,Emotionen der Freude,Freude,"Sie durch die Hilfe Ihrer Tugend und
              seines Trostes weniger traurig zu sehen",13,9571,9661,LSch,Nicht-Charakter
84,CATMA_B10D6421-643A-4648-A288-12397089334A,CATMA_001BB69F-E7C8-4717-B2D4-9C1F0F4C7E50,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,positiv,positiv,Emotionen der Freude,Freude,Ihrem besten Freunde,3,9685,9705,LSch,MALE
85,CATMA_683F070F-FDCF-4542-BA8F-1039B2C726FF,CATMA_001BB69F-E7C8-4717-B2D4-9C1F0F4C7E50,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,positiv,positiv,Emotionen der Freude,Freude,mit Ihnen wenigstens klagen zu dürfen,6,9742,9779,LSch,Nicht-Charakter
86,CATMA_356547D3-264F-4B66-B583-A6C1EBD8474F,CATMA_A0F1729D-9FCE-44A1-A522-ECCB2D421527,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,Ihre Gütigkeit,2,9815,9829,LSch,Nicht-Charakter
